Open Values
2017-08-31 - 73.8000
2017-09-01 - 73.6400
2017-09-05 - 72.9800
2017-09-06 - 73.3500
2017-09-07 - 73.6000
2017-09-08 - 73.8400
2017-09-11 - 74.3100
2017-09-12 - 74.3700
2017-09-13 - 74.5500
2017-09-14 - 74.5200
2017-09-15 - 74.0700
2017-09-18 - 75.0400
2017-09-19 - 75.0100
2017-09-20 - 74.3100
2017-09-21 - 74.1100
2017-09-22 - 73.8500
2017-09-25 - 72.9200
2017-09-26 - 72.9900
2017-09-27 - 73.1700
2017-09-28 - 73.3100
2017-09-29 - 73.8800
2017-10-02 - 74.3000
2017-10-03 - 74.1900
2017-10-04 - 73.7100
2017-10-05 - 74.9600
2017-10-06 - 75.5400
2017-10-09 - 75.8600
2017-10-10 - 76.1400
2017-10-11 - 75.9500
2017-10-12 - 76.3700
2017-10-13 - 77.2900
2017-10-16 - 77.3500
2017-10-17 - 77.2500
2017-10-18 - 77.3700
2017-10-19 - 77.3500
2017-10-20 - 78.2200
2017-10-23 - 78.7600
2017-10-24 - 78.4600
2017-10-25 - 78.0100
2017-10-26 - 78.7500
2017-10-27 - 83.6100
2017-10-30 - 83.1100
2017-10-31 - 83.1100
2017-11-01 - 82.8800
2017-11-02 - 83.1200
2017-11-03 - 83.4000
2017-11-06 - 84.0800
2017-11-07 - 83.9300
2017-11-08 - 83.8300
2017-11-09 - 82.9000
2017-11-10 - 83.2300
2017-11-13 - 83.4600
2017-11-14 - 82.9800
2017-11-15 - 82.6900
2017-11-16 - 82.9400
2017-11-17 - 82.2400
2017-11-20 - 82.2500
2017-11-21 - 82.7400
2017-11-22 - 83.0400
2017-11-24 - 82.7800
2017-11-27 - 83.3000
Close Values
2017-07-07 - 69.4600
2017-07-10 - 69.9800
2017-07-11 - 69.9900
2017-07-12 - 71.1500
2017-07-13 - 71.7700
2017-07-14 - 72.7800
2017-07-17 - 73.3500
2017-07-18 - 73.3000
2017-07-19 - 73.8600
2017-07-20 - 74.2200
2017-07-21 - 73.7900
2017-07-24 - 73.6000
2017-07-25 - 74.1900
2017-07-26 - 74.0500
2017-07-27 - 73.1600
2017-07-28 - 73.0400
2017-07-31 - 72.7000
2017-08-01 - 72.5800
2017-08-02 - 72.2600
2017-08-03 - 72.1500
2017-08-04 - 72.6800
2017-08-07 - 72.4000
2017-08-08 - 72.7900
2017-08-09 - 72.4700
2017-08-10 - 71.4100
2017-08-11 - 72.5000
2017-08-14 - 73.5900
2017-08-15 - 73.2200
2017-08-16 - 73.6500
2017-08-17 - 72.4000
2017-08-18 - 72.4900
2017-08-21 - 72.1500
2017-08-22 - 73.1600
2017-08-23 - 72.7200
2017-08-24 - 72.6900
2017-08-25 - 72.8200
2017-08-28 - 72.8300
2017-08-29 - 73.0500
2017-08-30 - 74.0100
2017-08-31 - 74.7700
2017-09-01 - 73.9400
2017-09-05 - 73.6100
2017-09-06 - 73.4000
2017-09-07 - 74.3400
2017-09-08 - 73.9800
2017-09-11 - 74.7600
2017-09-12 - 74.6800
2017-09-13 - 75.2100
2017-09-14 - 74.7700
2017-09-15 - 75.3100
2017-09-18 - 75.1600
2017-09-19 - 75.4400
2017-09-20 - 74.9400
2017-09-21 - 74.2100
2017-09-22 - 74.4100
2017-09-25 - 73.2600
2017-09-26 - 73.2600
2017-09-27 - 73.8500
2017-09-28 - 73.8700
2017-09-29 - 74.4900
2017-10-02 - 74.6100
2017-10-03 - 74.2600
2017-10-04 - 74.6900
2017-10-05 - 75.9700
2017-10-06 - 76.0000
2017-10-09 - 76.2900
2017-10-10 - 76.2900
2017-10-11 - 76.4200
2017-10-12 - 77.1200
2017-10-13 - 77.4900
2017-10-16 - 77.6500
2017-10-17 - 77.5900
2017-10-18 - 77.6100
2017-10-19 - 77.9100
2017-10-20 - 78.8100
2017-10-23 - 78.8300
2017-10-24 - 78.8600
2017-10-25 - 78.6300
2017-10-26 - 78.7600
2017-10-27 - 83.8100
2017-10-30 - 83.8900
2017-10-31 - 83.1800
2017-11-01 - 83.1800
2017-11-02 - 84.0500
2017-11-03 - 84.1400
2017-11-06 - 84.4700
2017-11-07 - 84.2700
2017-11-08 - 84.5600
2017-11-09 - 84.0900
2017-11-10 - 83.8700
2017-11-13 - 83.9300
2017-11-14 - 84.0500
2017-11-15 - 82.9800
2017-11-16 - 83.2000
2017-11-17 - 82.4000
2017-11-20 - 82.5300
2017-11-21 - 83.7200
2017-11-22 - 83.1100
2017-11-24 - 83.2600
2017-11-27 - 83.8700
Volume Values
2017-07-07 - 15897154
2017-07-10 - 14903400
2017-07-11 - 16880205
2017-07-12 - 17382861
2017-07-13 - 20149208
2017-07-14 - 25689303
2017-07-17 - 21481069
2017-07-18 - 26150272
2017-07-19 - 21769229
2017-07-20 - 34174677
2017-07-21 - 45302930
2017-07-24 - 20836422
2017-07-25 - 21522189
2017-07-26 - 15850344
2017-07-27 - 35518251
2017-07-28 - 17472880
2017-07-31 - 23151962
2017-08-01 - 19060885
2017-08-02 - 26405096
2017-08-03 - 17937522
2017-08-04 - 22579000
2017-08-07 - 18705700
2017-08-08 - 21446993
2017-08-09 - 20401071
2017-08-10 - 23153711
2017-08-11 - 21121250
2017-08-14 - 19756773
2017-08-15 - 17791179
2017-08-16 - 17814317
2017-08-17 - 21834250
2017-08-18 - 18215276
2017-08-21 - 17656716
2017-08-22 - 14183146
2017-08-23 - 13586784
2017-08-24 - 15980144
2017-08-25 - 12574503
2017-08-28 - 14112777
2017-08-29 - 11325418
2017-08-30 - 16826094
2017-08-31 - 26688077
2017-09-01 - 21593192
2017-09-05 - 21432599
2017-09-06 - 15945136
2017-09-07 - 17165518
2017-09-08 - 14474383
2017-09-11 - 17428067
2017-09-12 - 14003880
2017-09-13 - 12998629
2017-09-14 - 15373384
2017-09-15 - 37901927
2017-09-18 - 22730355
2017-09-19 - 15606870
2017-09-20 - 20415084
2017-09-21 - 19038998
2017-09-22 - 13969937
2017-09-25 - 23502422
2017-09-26 - 17105469
2017-09-27 - 18934048
2017-09-28 - 10814063
2017-09-29 - 16700435
2017-10-02 - 15210338
2017-10-03 - 11935853
2017-10-04 - 13287346
2017-10-05 - 20656238
2017-10-06 - 13692791
2017-10-09 - 11364275
2017-10-10 - 13734627
2017-10-11 - 14780652
2017-10-12 - 16778148
2017-10-13 - 15250772
2017-10-16 - 12331147
2017-10-17 - 15953665
2017-10-18 - 13147124
2017-10-19 - 14982129
2017-10-20 - 22517092
2017-10-23 - 20479731
2017-10-24 - 16613928
2017-10-25 - 19714512
2017-10-26 - 29181652
2017-10-27 - 70877350
2017-10-30 - 31291801
2017-10-31 - 26728947
2017-11-01 - 22039635
2017-11-02 - 23822964
2017-11-03 - 17569120
2017-11-06 - 19039847
2017-11-07 - 17152583
2017-11-08 - 18034170
2017-11-09 - 20924172
2017-11-10 - 19340435
2017-11-13 - 14080820
2017-11-14 - 18604034
2017-11-15 - 19097333
2017-11-16 - 20659209
2017-11-17 - 21715498
2017-11-20 - 16072495
2017-11-21 - 21237454
2017-11-22 - 20213704
2017-11-24 - 7425503
2017-11-27 - 17719841
